CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
29279887;EE - INSTITUTO DE EDUCACAO EUCLIDES DANTAS;BA;Vitória da Conquista;Estadual;Urbana;184;Maior que 90 alunos;139;75,54;0;De 60% a 80%;Médio;Até 50%;42,40;73,20;24,00;2,80;644,57;563,71;5,76;30,94;54,68;8,63;0,00
29277752;EE - COLEGIO POLIVALENTE DE VITORIA DA CONQUISTA;BA;Vitória da Conquista;Estadual;Urbana;215;Maior que 90 alunos;140;65,12;0;De 60% a 80%;Médio Baixo;Até 50%;40,10;70,10;18,60;11,30;624,25;547,63;7,14;37,86;52,86;2,14;0,00
29277728;EE - COLEGIO ESTADUAL ABDIAS MENEZES;BA;Vitória da Conquista;Estadual;Urbana;113;Maior que 90 alunos;59;52,21;1;De 40% a 60%;Médio;Até 50%;41,10;66,20;30,40;3,40;594,18;547,39;11,86;28,81;54,24;5,08;0,00
29277787;COLEGIO DA POLICIA MILITAR - CPM ERALDO TINOCO;BA;Vitória da Conquista;Estadual;Urbana;105;Maior que 90 alunos;100;95,24;0;De 60% a 80%;Médio Alto;Até 50%;41,70;75,50;23,40;1,10;684,01;638,01;0,00;3,00;56,00;41,00;0,00
29277825;COLEGIO PAULO VI;BA;Vitória da Conquista;Privada;Urbana;40;De 31 a 60 alunos;36;90,00;0;De 60% a 80%;Médio Alto;Até 50%;35,30;96,90;2,30;0,80;611,23;590,56;5,56;13,89;69,44;11,11;0,00
29532604;COLEGIO OPCAO;BA;Vitória da Conquista;Privada;Urbana;44;De 31 a 60 alunos;40;90,91;0;De 60% a 80%;Alto;Maior que 50%;71,00;87,70;0,70;11,60;619,30;593,86;0,00;22,50;60,00;17,50;0,00
29279810;EE - COLEGIO ESTADUAL ANISIO TEIXEIRA;BA;Vitória da Conquista;Estadual;Urbana;92;Maior que 90 alunos;49;53,26;0;De 60% a 80%;Médio;Até 50%;38,60;71,70;23,00;5,30;567,85;535,84;8,16;55,10;36,73;0,00;0,00
29279151;EE - COLEGIO ESTADUAL PADRE LUIZ SOARES PALMEIRA;BA;Vitória da Conquista;Estadual;Urbana;199;Maior que 90 alunos;100;50,25;1;De 60% a 80%;Médio;Até 50%;40,30;74,30;19,90;5,80;614,02;536,02;14,00;40,00;45,00;1,00;0,00
29277744;COL NOSSA SRA DE FATIMA;BA;Vitória da Conquista;Privada;Urbana;177;Maior que 90 alunos;173;97,74;1;80% ou mais;Muito alto;Maior que 50%;62,40;95,00;5,00;0,00;703,40;633,76;1,73;5,78;48,55;43,35;0,58
29279240;ESCOLA MONTEIRO LOBATO;BA;Vitória da Conquista;Privada;Urbana;22;De 1 a 30 alunos;19;86,36;0;80% ou mais;Sem informação;Até 50%;25,00;98,00;0,00;2,00;;558,22;15,79;26,32;52,63;5,26;0,00
29459729;COLEGIO JUVENCIO;BA;Vitória da Conquista;Privada;Urbana;44;De 31 a 60 alunos;42;95,45;0;Menos de 20%;Sem informação;Maior que 50%;58,30;93,50;5,60;0,90;655,19;633,74;0,00;4,76;64,29;30,95;0,00
29279577;ESCOLA PADRE CICERO;BA;Vitória da Conquista;Privada;Urbana;13;De 1 a 30 alunos;12;92,31;0;De 60% a 80%;Médio Alto;Até 50%;37,80;94,80;3,40;1,80;;580,37;0,00;16,67;83,33;0,00;0,00
29278090;EE - COLEGIO ESTADUAL DOUTOR ORLANDO LEITE;BA;Vitória da Conquista;Estadual;Urbana;30;De 1 a 30 alunos;22;73,33;0;De 40% a 60%;Médio;Até 50%;43,50;75,40;21,50;3,10;;554,26;9,09;18,18;72,73;0,00;0,00
29041651;ESCOLA CECILIA MEIRELES;BA;Xique-Xique;Privada;Urbana;21;De 1 a 30 alunos;19;90,48;0;De 60% a 80%;Médio;Até 50%;25,00;92,40;7,60;0,00;;575,85;10,53;15,79;57,89;15,79;0,00
31200271;EE PEDRO ALVARES CABRAL;MG;Abadia dos Dourados;Estadual;Urbana;59;De 31 a 60 alunos;42;71,19;0;80% ou mais;Médio;Maior que 50%;64,30;86,00;7,70;6,30;584,68;549,46;14,29;28,57;52,38;4,76;0,00
31040924;COLEGIO CENECISTA NOSSA SENHORA DE FATIMA;MG;Abaeté;Privada;Urbana;36;De 31 a 60 alunos;34;94,44;0;80% ou mais;Alto;Maior que 50%;72,70;98,20;0,90;0,90;643,62;627,97;0,00;11,76;50,00;38,24;0,00
31031836;EE DOUTOR EDGARDO DA CUNHA PEREIRA;MG;Abaeté;Estadual;Urbana;179;Maior que 90 alunos;114;63,69;1;80% ou mais;Médio;Maior que 50%;71,20;70,90;21,80;7,30;620,81;542,28;14,91;27,19;57,02;0,88;0,00
31258971;EE ABRE CAMPO;MG;Abre Campo;Estadual;Urbana;104;Maior que 90 alunos;64;61,54;0;80% ou mais;Médio;Maior que 50%;72,80;84,00;7,80;8,20;622,65;572,94;4,69;23,44;65,63;6,25;0,00
31202134;EE PROFESSOR LEONIDES ALVARENGA;MG;Aguanil;Estadual;Urbana;48;De 31 a 60 alunos;35;72,92;0;80% ou mais;Médio;Maior que 50%;78,60;81,50;11,20;7,30;558,00;535,51;20,00;28,57;48,57;2,86;0,00
31184403;EE DE MACHADO MINEIRO;MG;Águas Vermelhas;Estadual;Urbana;53;De 31 a 60 alunos;29;54,72;0;80% ou mais;Médio Baixo;Maior que 50%;60,60;87,30;6,30;6,40;;526,94;17,24;37,93;44,83;0,00;0,00
31184381;EE CORONEL JOSE VENANCIO DE SOUSA;MG;Águas Vermelhas;Estadual;Urbana;50;De 31 a 60 alunos;27;54,00;1;80% ou mais;Médio Baixo;Maior que 50%;65,30;79,10;12,10;8,80;;554,36;7,41;37,04;55,56;0,00;0,00
31041785;EE FREI AFONSO MARIA JORDA;MG;Aimorés;Estadual;Urbana;85;De 61 a 90 alunos;63;74,12;0;De 60% a 80%;Médio Alto;Maior que 50%;52,10;85,40;8,00;6,60;602,77;552,70;3,17;36,51;55,56;4,76;0,00
31041858;EE JOSE TEIXEIRA FRANCO;MG;Aimorés;Estadual;Urbana;20;De 1 a 30 alunos;11;55,00;0;80% ou mais;Médio Baixo;Até 50%;44,40;90,30;8,30;1,40;;535,75;9,09;45,45;45,45;0,00;0,00
31170682;EE CONSELHEIRO FIDELIS;MG;Aiuruoca;Estadual;Urbana;46;De 31 a 60 alunos;30;65,22;1;80% ou mais;Médio;Maior que 50%;68,30;80,10;11,10;8,80;546,11;546,11;3,33;46,67;50,00;0,00;0,00
31096512;EE SAO JOSE;MG;Além Paraíba;Estadual;Urbana;62;De 61 a 90 alunos;36;58,06;0;80% ou mais;Médio;Maior que 50%;63,30;84,60;7,90;7,50;575,51;554,44;11,11;30,56;58,33;0,00;0,00
31096521;EE SEBASTIAO CERQUEIRA;MG;Além Paraíba;Estadual;Urbana;57;De 31 a 60 alunos;30;52,63;0;De 60% a 80%;Médio Alto;Maior que 50%;65,10;72,70;16,90;10,40;533,87;533,87;6,67;56,67;36,67;0,00;0,00
31102318;COLEGIO DOS SANTOS ANJOS;MG;Além Paraíba;Privada;Urbana;21;De 1 a 30 alunos;21;100,00;0;De 60% a 80%;Muito alto;Maior que 50%;63,60;90,00;10,00;0,00;;613,51;0,00;9,52;71,43;19,05;0,00
31096555;EE BARAO SAO GERALDO;MG;Além Paraíba;Estadual;Urbana;22;De 1 a 30 alunos;15;68,18;0;80% ou mais;Médio;Até 50%;47,20;97,00;0,00;3,00;;537,57;13,33;26,67;60,00;0,00;0,00
31102300;COLEGIO ALEM PARAIBA;MG;Além Paraíba;Privada;Urbana;26;De 1 a 30 alunos;18;69,23;0;De 60% a 80%;Médio Alto;Maior que 50%;57,10;100,00;0,00;0,00;;559,85;0,00;44,44;50,00;5,56;0,00
31102326;COLEGIO CENECISTA PROF SERGIO FERREIRA;MG;Além Paraíba;Privada;Urbana;29;De 1 a 30 alunos;29;100,00;0;De 60% a 80%;Alto;Maior que 50%;67,80;90,10;9,90;0,00;;613,78;0,00;24,14;41,38;34,48;0,00
31180211;COL ATENAS;MG;Alfenas;Privada;Urbana;52;De 31 a 60 alunos;51;98,08;0;80% ou mais;Muito alto;Até 50%;48,60;94,50;4,80;0,70;664,75;633,72;0,00;5,88;54,90;39,22;0,00
31319945;COLEGIO PROFESSOR ROQUE N TAMBURINI;MG;Alfenas;Privada;Urbana;25;De 1 a 30 alunos;21;84,00;0;De 40% a 60%;Alto;Maior que 50%;54,00;98,90;0,00;1,10;;584,50;4,76;14,29;76,19;4,76;0,00
31170798;EE DOUTOR EMILIO SILVEIRA;MG;Alfenas;Estadual;Urbana;220;Maior que 90 alunos;155;70,45;0;De 60% a 80%;Médio Alto;Maior que 50%;66,80;71,20;9,10;19,70;638,84;550,67;6,45;40,00;46,45;7,10;0,00
31170844;EE PREFEITO ISMAEL BRASIL CORREA;MG;Alfenas;Estadual;Urbana;34;De 31 a 60 alunos;25;73,53;1;80% ou mais;Médio;Maior que 50%;64,40;81,90;10,70;7,40;;507,23;20,00;52,00;24,00;4,00;0,00
31170879;EE SAMUEL ENGEL;MG;Alfenas;Estadual;Urbana;84;De 61 a 90 alunos;63;75,00;0;De 60% a 80%;Médio Alto;Maior que 50%;59,10;85,70;8,20;6,10;610,08;553,54;9,52;31,75;55,56;3,17;0,00
31346799;COLEGIO CRA;MG;Alfenas;Privada;Urbana;44;De 31 a 60 alunos;43;97,73;0;80% ou mais;Alto;Maior que 50%;71,30;93,80;6,20;0,00;666,37;641,01;0,00;6,98;46,51;46,51;0,00
31170887;EE DOUTOR NAPOLEAO SALLES;MG;Alfenas;Estadual;Urbana;56;De 31 a 60 alunos;28;50,00;1;De 60% a 80%;Médio;Maior que 50%;62,00;73,40;12,40;14,20;;537,81;3,57;46,43;46,43;3,57;0,00
31180220;COLEGIO SAGRADO CORACAO DE JESUS;MG;Alfenas;Privada;Urbana;39;De 31 a 60 alunos;36;92,31;0;80% ou mais;Alto;Até 50%;33,80;91,10;8,90;0,00;627,31;606,86;2,78;16,67;55,56;25,00;0,00
31016012;EE NOSSA SENHORA DO ROSARIO;MG;Alfredo Vasconcelos;Estadual;Urbana;48;De 31 a 60 alunos;25;52,08;2;80% ou mais;Médio;Maior que 50%;56,30;82,00;7,80;10,20;;548,38;0,00;52,00;48,00;0,00;0,00
31349658;IFNMG - CAMPUS ALMENARA;MG;Almenara;Federal;Rural;74;De 61 a 90 alunos;72;97,30;0;80% ou mais;Médio Alto;Maior que 50%;76,50;93,40;5,40;1,20;652,79;608,54;1,39;9,72;70,83;18,06;0,00
31247731;COLEGIO COM DR FERNANDO MAGALHAES;MG;Almenara;Privada;Urbana;14;De 1 a 30 alunos;13;92,86;0;80% ou mais;Alto;Maior que 50%;67,50;95,50;4,50;0,00;;595,23;0,00;30,77;46,15;23,08;0,00
31184519;EE TANCREDO NEVES;MG;Almenara;Estadual;Urbana;113;Maior que 90 alunos;60;53,10;0;De 60% a 80%;Médio;Maior que 50%;68,00;74,00;16,40;9,60;586,49;530,68;18,33;35,00;45,00;1,67;0,00
31254291;INST EDUC PE UBIRAJARA CABRAL;MG;Alpinópolis;Privada;Urbana;11;De 1 a 30 alunos;10;90,91;0;80% ou mais;Alto;Maior que 50%;52,90;100,00;0,00;0,00;;642,48;0,00;0,00;50,00;50,00;0,00
31298905;COLEGIO ALBERTINO GONCALVES DOS REIS;MG;Alpinópolis;Privada;Urbana;15;De 1 a 30 alunos;15;100,00;0;De 60% a 80%;Médio Alto;Maior que 50%;75,70;97,70;2,30;0,00;;585,10;0,00;20,00;73,33;6,67;0,00
31114855;EE DONA INDA;MG;Alpinópolis;Estadual;Urbana;74;De 61 a 90 alunos;39;52,70;0;80% ou mais;Médio;Maior que 50%;81,10;82,40;13,30;4,30;573,84;546,68;7,69;38,46;53,85;0,00;0,00
31114863;EE DOM JOAO VI;MG;Alpinópolis;Estadual;Urbana;83;De 61 a 90 alunos;50;60,24;0;80% ou mais;Médio Alto;Maior que 50%;94,80;92,90;4,60;2,50;611,47;573,74;4,00;30,00;58,00;8,00;0,00
31123668;EE BOLIVAR BOANERGES DA SILVEIRA;MG;Alterosa;Estadual;Urbana;133;Maior que 90 alunos;87;65,41;0;80% ou mais;Médio;Maior que 50%;75,50;85,70;4,80;9,50;609,25;551,52;9,20;33,33;56,32;1,15;0,00
31096792;EE CORONEL AMERICO VESPUCIO CARVALHO;MG;Alto Caparaó;Estadual;Urbana;44;De 31 a 60 alunos;26;59,09;3;80% ou mais;Médio;Maior que 50%;66,70;85,70;4,80;9,50;;563,92;3,85;23,08;69,23;3,85;0,00
31014681;EE SAO JOSE;MG;Alto Rio Doce;Estadual;Urbana;90;De 61 a 90 alunos;48;53,33;2;80% ou mais;Médio Baixo;Até 50%;44,40;81,10;13,40;5,50;577,70;538,69;12,50;33,33;52,08;2,08;0,00
31128279;EE ALFREDO DO CARMO;MG;Amparo do Serra;Estadual;Urbana;49;De 31 a 60 alunos;27;55,10;0;80% ou mais;Médio Baixo;Maior que 50%;61,50;65,50;18,00;16,50;;540,36;3,70;44,44;51,85;0,00;0,00
31310808;ESC ULTRA DE ENS MEDIO E PROFIS;MG;Andradas;Privada;Urbana;27;De 1 a 30 alunos;22;81,48;0;80% ou mais;Alto;Até 50%;47,40;100,00;0,00;0,00;;595,42;0,00;18,18;54,55;27,27;0,00
31355356;INSTITUTO DE EDUCACAO ALFA I;MG;Andradas;Privada;Urbana;28;De 1 a 30 alunos;25;89,29;0;Menos de 20%;Sem informação;Maior que 50%;73,00;98,70;1,30;0,00;;646,56;0,00;0,00;44,00;52,00;4,00
31123714;EE DOUTOR ALCIDES MOSCONI;MG;Andradas;Estadual;Urbana;258;Maior que 90 alunos;149;57,75;2;80% ou mais;Médio Alto;Maior que 50%;70,70;77,00;10,20;12,80;638,92;557,37;6,71;32,89;54,36;6,04;0,00
31343447;COLEGIO JUNQUEIRA - UNIDADE II;MG;Andradas;Privada;Urbana;28;De 1 a 30 alunos;27;96,43;0;80% ou mais;Alto;Maior que 50%;70,20;100,00;0,00;0,00;;601,16;0,00;14,81;70,37;14,81;0,00
31123773;EE ADOLFO FIRMINO SOUZA MARQUES;MG;Andradas;Estadual;Urbana;20;De 1 a 30 alunos;13;65,00;0;80% ou mais;Médio;Até 50%;25,00;100,00;0,00;0,00;;542,58;7,69;38,46;53,85;0,00;0,00
31014842;EE VISCONDE DE ARANTES;MG;Andrelândia;Estadual;Urbana;110;Maior que 90 alunos;64;58,18;0;80% ou mais;Médio;Até 50%;40,00;87,30;6,50;6,20;598,81;546,22;4,69;43,75;48,44;3,13;0,00
31014974;EE SENADOR ANTONIO CARLOS;MG;Antônio Carlos;Estadual;Urbana;24;De 1 a 30 alunos;13;54,17;1;De 60% a 80%;Médio Alto;Maior que 50%;60,50;98,80;1,20;0,00;;553,96;7,69;23,08;69,23;0,00;0,00
31311189;EE PROFESSORA MARIA DA CONCEICAO SILVA;MG;Araçaí;Estadual;Urbana;43;De 31 a 60 alunos;31;72,09;0;80% ou mais;Médio Baixo;Até 50%;50,00;97,10;0,00;2,90;506,81;501,96;19,35;61,29;19,35;0,00;0,00
31347272;IFNMG - CAMPUS ARACUAI;MG;Araçuaí;Federal;Rural;63;De 61 a 90 alunos;63;100,00;0;80% ou mais;Médio Alto;Maior que 50%;78,40;97,40;2,60;0,00;649,45;611,72;0,00;9,52;73,02;17,46;0,00
31146099;EE INDUSTRIAL SAO JOSE;MG;Araçuaí;Estadual;Urbana;139;Maior que 90 alunos;95;68,35;2;80% ou mais;Médio;Maior que 50%;59,70;85,10;10,30;4,60;589,35;530,24;10,53;49,47;40,00;0,00;0,00
31343323;ESCOLA FAMILIA AGROECOLOGICA DE ARACUAI;MG;Araçuaí;Privada;Rural;32;De 31 a 60 alunos;25;78,13;0;80% ou mais;Baixo;Até 50%;25,00;93,70;6,30;0,00;;542,74;4,00;48,00;48,00;0,00;0,00
31146170;EE JOSE DOS SANTOS NEIVA;MG;Araçuaí;Estadual;Urbana;27;De 1 a 30 alunos;15;55,56;0;80% ou mais;Médio Baixo;Maior que 50%;58,30;92,20;5,80;2,00;;509,30;20,00;46,67;33,33;0,00;0,00
31157864;COL NAZARETH;MG;Araçuaí;Privada;Urbana;10;De 1 a 30 alunos;10;100,00;0;80% ou mais;Médio Alto;Maior que 50%;52,90;97,80;2,20;0,00;;610,86;0,00;10,00;80,00;10,00;0,00
31166731;EE PROFESSOR ANTONIO MARQUES;MG;Araguari;Estadual;Urbana;314;Maior que 90 alunos;256;81,53;0;80% ou mais;Médio Alto;Maior que 50%;78,50;88,20;9,20;2,60;651,29;545,10;9,38;39,84;46,09;4,69;0,00
31239666;COLEGIO NACIONAL DO ENSINO MEDIO DE ARAGUARI;MG;Araguari;Privada;Urbana;29;De 1 a 30 alunos;28;96,55;0;De 60% a 80%;Muito alto;Maior que 50%;70,70;95,20;3,80;1,00;;629,17;0,00;7,14;50,00;42,86;0,00
31166634;EE DONA ELEONORA PIERUCCETTI;MG;Araguari;Estadual;Urbana;38;De 31 a 60 alunos;22;57,89;2;80% ou mais;Médio;Maior que 50%;73,20;89,20;10,80;0,00;;553,06;9,09;36,36;45,45;9,09;0,00
31166685;EE MADRE MARIA BLANDINA;MG;Araguari;Estadual;Urbana;194;Maior que 90 alunos;112;57,73;5;De 60% a 80%;Médio Alto;Maior que 50%;76,60;76,10;15,60;8,30;632,32;537,92;13,39;41,96;35,71;8,93;0,00
31170216;COL BERLAAR SAGRADO CORACAO JESUS;MG;Araguari;Privada;Urbana;54;De 31 a 60 alunos;50;92,59;0;80% ou mais;Muito alto;Maior que 50%;70,50;94,90;5,10;0,00;644,09;618,17;0,00;4,00;82,00;14,00;0,00
31166651;EE ISOLINA FRANCA SOARES TORRES;MG;Araguari;Estadual;Urbana;112;Maior que 90 alunos;74;66,07;1;De 60% a 80%;Médio Alto;Maior que 50%;72,00;82,50;12,10;5,40;605,66;553,38;2,70;47,30;45,95;4,05;0,00
31170208;ESC MACHADO DE ASSIS;MG;Araguari;Privada;Urbana;22;De 1 a 30 alunos;20;90,91;0;De 60% a 80%;Alto;Maior que 50%;88,90;93,00;7,00;0,00;;584,32;0,00;30,00;60,00;10,00;0,00
31278912;C EDUC NOSSO LAR;MG;Araguari;Privada;Urbana;39;De 31 a 60 alunos;31;79,49;0;De 60% a 80%;Alto;Maior que 50%;80,80;86,90;13,10;0,00;575,08;570,31;3,23;32,26;54,84;9,68;0,00
31340367;COLEGIO ALFA;MG;Araguari;Privada;Urbana;49;De 31 a 60 alunos;44;89,80;0;De 60% a 80%;Alto;Maior que 50%;54,80;96,00;4,00;0,00;635,35;598,47;2,27;22,73;50,00;25,00;0,00
31166740;EE RAUL SOARES;MG;Araguari;Estadual;Urbana;57;De 31 a 60 alunos;38;66,67;0;De 20% a 40%;Médio;Maior que 50%;58,90;81,50;9,40;9,10;586,11;563,57;7,89;31,58;60,53;0,00;0,00
