CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
25038796;EEEM FENELON NOBREGA;PB;Salgadinho;Estadual;Urbana;16;De 1 a 30 alunos;11;68.75;0;80% ou mais;Baixo;Até 50%;17.80;94.40;4.20;1.40;;465.84;45.45;54.55;0.00;0.00;0.00
25082922;EEEFM ANA RIBEIRO;PB;Salgado de São Félix;Estadual;Urbana;65;De 61 a 90 alunos;33;50.77;0;De 60% a 80%;Médio Baixo;Até 50%;22.90;68.00;11.30;20.70;466.80;456.38;48.48;51.52;0.00;0.00;0.00
25017080;EEEFM VALDEMIRO WANDERLEY DE OLIVEIRA;PB;Santa Cruz;Estadual;Urbana;30;De 1 a 30 alunos;23;76.67;0;80% ou mais;Médio Baixo;Maior que 50%;61.50;78.90;14.50;6.60;;481.79;21.74;69.57;8.70;0.00;0.00
25009931;EEEFM ELAINE SOARES BRASILEIRO;PB;Santa Helena;Estadual;Urbana;54;De 31 a 60 alunos;42;77.78;0;80% ou mais;Baixo;Maior que 50%;60.90;92.70;5.60;1.70;503.08;478.09;30.95;57.14;11.90;0.00;0.00
25028103;EEEFM ENEAS LEITE;PB;Santa Inês;Estadual;Urbana;26;De 1 a 30 alunos;14;53.85;0;80% ou mais;Médio Baixo;Até 50%;35.30;91.30;5.00;3.70;;439.76;57.14;42.86;0.00;0.00;0.00
25116746;CEDUC SANTA LUZIA - CENTRO EDUCACIONAL SANTA LUZIA;PB;Santa Luzia;Privada;Urbana;14;De 1 a 30 alunos;10;71.43;1;80% ou mais;Médio Alto;Até 50%;16.70;100.00;0.00;0.00;;513.66;30.00;20.00;40.00;10.00;0.00
25039032;EEEFM PE JERONIMO LAUWEN;PB;Santa Luzia;Estadual;Urbana;146;Maior que 90 alunos;96;65.75;1;80% ou mais;Médio Baixo;Maior que 50%;56.80;84.40;3.40;12.20;551.62;482.27;35.42;53.13;11.46;0.00;0.00
25031783;EEEFM PRESIDENTE KENNEDY;PB;Santana de Mangueira;Estadual;Urbana;70;De 61 a 90 alunos;46;65.71;0;80% ou mais;Baixo;Até 50%;35.90;94.20;1.00;4.80;491.67;457.49;43.48;50.00;6.52;0.00;0.00
25118102;COLEGIO E CURSO JOSE AMERICO DE ALMEDA;PB;Santa Rita;Privada;Urbana;41;De 31 a 60 alunos;32;78.05;0;80% ou mais;Médio;Até 50%;28.60;100.00;0.00;0.00;492.11;484.71;34.38;56.25;9.38;0.00;0.00
25098829;CENTRO EDUCACIONAL SANTA TEREZINHA;PB;Santa Rita;Privada;Urbana;55;De 31 a 60 alunos;51;92.73;0;De 60% a 80%;Médio Alto;Até 50%;50.00;97.40;2.60;0.00;550.94;512.69;17.65;56.86;25.49;0.00;0.00
25118374;CENTRO EDUCACIONAL NOVO VIVER - SISTEMA DE ENSINO;PB;Santa Rita;Privada;Urbana;20;De 1 a 30 alunos;11;55.00;0;80% ou mais;Médio;Até 50%;48.40;97.10;1.40;1.50;;489.68;18.18;81.82;0.00;0.00;0.00
25098896;COFRAG - COLEGIO DR FRANCISCO AGUIAR;PB;Santa Rita;Privada;Urbana;16;De 1 a 30 alunos;12;75.00;0;80% ou mais;Médio;Maior que 50%;51.50;;;;;493.30;41.67;41.67;8.33;8.33;0.00
25099051;ESCOLA CENECISTA MINISTRO JOAO AGRIPINO FILHO;PB;Santa Rita;Privada;Urbana;33;De 31 a 60 alunos;29;87.88;0;80% ou mais;Médio Alto;Até 50%;50.00;100.00;0.00;0.00;;514.04;20.69;44.83;34.48;0.00;0.00
25099116;EEEFM PROF LUIS DE AZEVEDO SOARES;PB;Santa Rita;Estadual;Urbana;139;Maior que 90 alunos;73;52.52;0;De 60% a 80%;Médio Baixo;Maior que 50%;54.50;65.50;9.80;24.70;520.23;471.44;31.51;61.64;6.85;0.00;0.00
25099868;INST NOSSA SENHORA DE FATIMA LTDA;PB;Santa Rita;Privada;Urbana;38;De 31 a 60 alunos;29;76.32;0;Menos de 20%;Médio;Até 50%;29.30;100.00;0.00;0.00;;493.06;24.14;51.72;24.14;0.00;0.00
25022296;EEEFM PROFESSOR JOAO NOBERTO;PB;Santa Teresinha;Estadual;Urbana;49;De 31 a 60 alunos;31;63.27;2;80% ou mais;Baixo;Até 50%;43.80;79.00;15.70;5.30;471.89;467.54;32.26;67.74;0.00;0.00;0.00
25054023;EEEFM DEP ALVARO G QUEIROZ;PB;Santo André;Estadual;Urbana;23;De 1 a 30 alunos;17;73.91;0;80% ou mais;Baixo;Até 50%;43.50;78.90;11.90;9.20;;496.57;17.65;58.82;23.53;0.00;0.00
