CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
52038025;INSTITUTO DE EDUCACAO DE GOIAS;GO;Goiânia;Estadual;Urbana;398;Maior que 90 alunos;236;59,30;8;De 40% a 60%;Médio;Maior que 50%;75,30;76,40;16,10;7,50;610,32;454,60;54,66;30,93;12,29;1,69;0,42
52099504;COLEGIO DELTA JARDIM GOIAS;GO;Goiânia;Privada;Urbana;32;De 31 a 60 alunos;29;90,63;0;Menos de 20%;Sem informação;Maior que 50%;59,50;88,00;12,00;0,00;;569,20;17,24;31,03;24,14;27,59;0,00
52034585;COLEGIO ADVENTISTA SETOR PEDRO LUDOVICO;GO;Goiânia;Privada;Urbana;25;De 1 a 30 alunos;24;96,00;0;De 60% a 80%;Alto;Maior que 50%;69,20;87,50;12,50;0,00;;589,23;8,33;37,50;25,00;16,67;12,50
52081680;COLEGIO ROSAMARQUES;GO;Goiânia;Privada;Urbana;12;De 1 a 30 alunos;11;91,67;0;De 60% a 80%;Alto;Até 50%;39,50;78,40;21,60;0,00;;524,68;9,09;45,45;45,45;0,00;0,00
52033406;COLEGIO ESTADUAL DO SETOR SUDOESTE;GO;Goiânia;Estadual;Urbana;158;Maior que 90 alunos;108;68,35;10;De 60% a 80%;Médio Alto;Maior que 50%;63,10;98,00;1,50;0,50;539,60;437,02;66,67;24,07;6,48;2,78;0,00
52034879;COLEGIO ESTADUAL CORACAO DE JESUS;GO;Goiânia;Estadual;Urbana;84;De 61 a 90 alunos;68;80,95;0;De 60% a 80%;Médio Alto;Maior que 50%;74,80;87,50;11,50;1,00;538,25;458,17;52,94;32,35;11,76;2,94;0,00
52033589;COLEGIO ESTADUAL PROFESSOR JOAQUIM CARVALHO FERREIRA;GO;Goiânia;Estadual;Urbana;44;De 31 a 60 alunos;33;75,00;4;De 60% a 80%;Médio;Maior que 50%;61,50;98,80;1,20;0,00;484,31;470,89;42,42;36,36;15,15;6,06;0,00
52033112;COLEGIO DIMENSAO;GO;Goiânia;Privada;Urbana;51;De 31 a 60 alunos;43;84,31;1;De 60% a 80%;Alto;Maior que 50%;78,10;97,40;2,60;0,00;553,77;503,67;32,56;37,21;18,60;6,98;4,65
52034054;COLEGIO PROGRESSIVO;GO;Goiânia;Privada;Urbana;119;Maior que 90 alunos;118;99,16;0;80% ou mais;Alto;Maior que 50%;59,00;99,10;0,90;0,00;749,43;610,04;10,17;23,73;25,42;32,20;8,47
52038270;COLEGIO ESTADUAL JOSE RODRIGUES NAVES;GO;Goianira;Estadual;Urbana;240;Maior que 90 alunos;121;50,42;3;De 60% a 80%;Médio;Maior que 50%;53,60;82,90;10,20;6,90;543,71;438,63;65,29;25,62;8,26;0,83;0,00
52097226;IFG - CAMPUS CIDADE DE GOIAS;GO;Goiás;Federal;Urbana;37;De 31 a 60 alunos;36;97,30;1;80% ou mais;Sem informação;Maior que 50%;79,80;89,20;10,80;0,00;518,42;491,67;36,11;38,89;19,44;5,56;0,00
52002586;COLEGIO ALTERNATIVO - COOPECIGO;GO;Goiás;Privada;Urbana;17;De 1 a 30 alunos;15;88,24;0;80% ou mais;Alto;Até 50%;50,00;100,00;0,00;0,00;;468,45;60,00;20,00;6,67;13,33;0,00
52002691;COLEGIO ESTADUAL DE APLICACAO PROFESSOR MANUEL CAIADO;GO;Goiás;Estadual;Urbana;98;Maior que 90 alunos;81;82,65;4;De 20% a 40%;Médio;Maior que 50%;53,70;75,60;24,40;0,00;482,36;413,19;71,60;25,93;2,47;0,00;0,00
52002608;CPMG UNIDADE JOAO AUGUSTO PERILLO;GO;Goiás;Estadual;Urbana;46;De 31 a 60 alunos;43;93,48;6;De 20% a 40%;Médio;Até 50%;44,00;88,50;11,50;0,00;500,98;460,75;51,16;34,88;13,95;0,00;0,00
52002594;CENTRO DE ENSINO EM PERIODO INTEGRAL PROFESSOR ALCIDE JUBE;GO;Goiás;Estadual;Urbana;24;De 1 a 30 alunos;24;100,00;1;De 60% a 80%;Médio;Maior que 50%;58,30;90,50;8,10;1,40;;453,69;45,83;45,83;8,33;0,00;0,00
52058832;COLEGIO ESTADUAL DE GOIATUBA;GO;Goiatuba;Estadual;Urbana;135;Maior que 90 alunos;71;52,59;5;De 60% a 80%;Médio Alto;Até 50%;50,00;80,80;10,90;8,30;506,85;440,35;64,79;25,35;8,45;1,41;0,00
52058859;COLEGIO ANTARES;GO;Goiatuba;Privada;Urbana;16;De 1 a 30 alunos;14;87,50;0;80% ou mais;Alto;Maior que 50%;61,50;96,80;3,20;0,00;;538,84;14,29;57,14;7,14;21,43;0,00
52067289;COLEGIO ESTADUAL JOSE RODRIGUES MORENO;GO;Gouvelândia;Estadual;Urbana;43;De 31 a 60 alunos;24;55,81;0;80% ou mais;Médio;Até 50%;34,40;99,30;0,70;0,00;;415,68;75,00;20,83;4,17;0,00;0,00
52038483;COLEGIO ESTADUAL PROFESSORA LIODOSIA SERRA RAMOS;GO;Guapó;Estadual;Urbana;144;Maior que 90 alunos;89;61,81;3;80% ou mais;Médio;Até 50%;33,60;85,00;9,10;5,90;497,15;418,10;69,66;24,72;5,62;0,00;0,00
52016790;COLEGIO ESTADUAL GEORGINA RODRIGUES COELHO;GO;Guaraíta;Estadual;Urbana;25;De 1 a 30 alunos;19;76,00;0;80% ou mais;Médio Baixo;Até 50%;22,90;89,70;2,90;7,40;;463,71;36,84;52,63;10,53;0,00;0,00
52016900;COLEGIO ESTADUAL MANOEL DE OLIVEIRA PENNA;GO;Guarinos;Estadual;Urbana;23;De 1 a 30 alunos;17;73,91;0;80% ou mais;Médio Baixo;Até 50%;22,20;98,40;0,00;1,60;;429,11;70,59;17,65;11,76;0,00;0,00
52038734;COLEGIO ESTADUAL ADEMAR ALVES DE SOUZA;GO;Hidrolândia;Estadual;Urbana;19;De 1 a 30 alunos;11;57,89;0;80% ou mais;Médio Alto;Até 50%;28,90;86,90;6,60;6,50;;489,27;36,36;45,45;18,18;0,00;0,00
52038742;COLEGIO ESTADUAL DEPUTADO MANOEL MENDONCA;GO;Hidrolândia;Estadual;Urbana;126;Maior que 90 alunos;85;67,46;1;80% ou mais;Médio;Até 50%;45,70;75,90;15,90;8,20;525,24;443,98;54,12;38,82;5,88;1,18;0,00
52017109;COLEGIO ESTADUAL ALFREDO NASSER;GO;Hidrolina;Estadual;Urbana;60;De 31 a 60 alunos;43;71,67;4;80% ou mais;Médio;Até 50%;49,30;85,80;10,20;4,00;487,98;457,97;48,84;41,86;6,98;2,33;0,00
52041506;COLEGIO ESTADUAL RAIMUNDO ROCHA RIBEIRO;GO;Iaciara;Estadual;Urbana;100;Maior que 90 alunos;73;73,00;1;80% ou mais;Médio Baixo;Até 50%;33,60;97,90;1,10;1,00;479,08;418,01;75,34;21,92;1,37;1,37;0,00
52041450;COLEGIO ESTADUAL JOAQUIM VIEIRA DE BRITO;GO;Iaciara;Estadual;Urbana;79;De 61 a 90 alunos;44;55,70;3;80% ou mais;Médio Baixo;Até 50%;32,50;96,40;3,10;0,50;442,66;415,52;70,45;29,55;0,00;0,00;0,00
52059243;COLEGIO ESTADUAL PERILO RODRIGUES DE MOURA;GO;Inaciolândia;Estadual;Urbana;38;De 31 a 60 alunos;27;71,05;0;De 60% a 80%;Médio;Até 50%;41,90;81,40;17,00;1,60;;442,67;55,56;29,63;14,81;0,00;0,00
52056465;COLEGIO ESTADUAL DE INDIARA;GO;Indiara;Estadual;Urbana;145;Maior que 90 alunos;79;54,48;7;80% ou mais;Médio;Até 50%;48,50;89,70;5,20;5,10;552,09;452,81;54,43;25,32;18,99;1,27;0,00
52088308;COLEGIO MONSENHOR;GO;Inhumas;Privada;Urbana;38;De 31 a 60 alunos;38;100,00;0;80% ou mais;Alto;Maior que 50%;76,40;99,10;0,90;0,00;669,96;627,29;10,53;5,26;44,74;23,68;15,79
52022706;COLEGIO ESTADUAL ARY RIBEIRO VALADAO FILHO;GO;Inhumas;Estadual;Urbana;54;De 31 a 60 alunos;49;90,74;1;80% ou mais;Médio Baixo;Até 50%;47,20;76,00;19,40;4,60;545,52;490,01;38,78;40,82;16,33;4,08;0,00
52022722;COLEGIO DA POLICIA MILITAR DE GOIAS MANOEL VILAVERDE;GO;Inhumas;Estadual;Urbana;219;Maior que 90 alunos;183;83,56;2;De 40% a 60%;Médio;Maior que 50%;81,00;93,30;6,60;0,10;627,99;462,70;51,37;30,60;13,11;4,92;0,00
52219364;COLEGIO EINSTEIN JR;GO;Inhumas;Privada;Urbana;26;De 1 a 30 alunos;26;100,00;0;De 60% a 80%;Médio Alto;Maior que 50%;64,70;95,30;2,40;2,30;;505,60;38,46;26,92;11,54;19,23;3,85
52259358;COLEGIO LINUS;GO;Inhumas;Privada;Urbana;22;De 1 a 30 alunos;20;90,91;0;De 60% a 80%;Médio Alto;Maior que 50%;61,10;98,20;1,80;0,00;;469,08;50,00;30,00;10,00;10,00;0,00
52022765;COLEGIO ZENITE;GO;Inhumas;Privada;Urbana;18;De 1 a 30 alunos;15;83,33;0;De 60% a 80%;Alto;Maior que 50%;64,40;100,00;0,00;0,00;;505,36;26,67;46,67;13,33;13,33;0,00
