CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
43070477;COLEGIO SCALABRINI;RS;Guaporé;Privada;Urbana;28;De 1 a 30 alunos;23;82.14;0;80% ou mais;Muito alto;Maior que 50%;71.40;96.60;3.40;0.00;;540.23;4.35;60.87;34.78;0.00;0.00
43071023;ESC EST ENS MED FREI CANECA;RS;Guaporé;Estadual;Urbana;97;Maior que 90 alunos;68;70.10;0;80% ou mais;Alto;Até 50%;39.50;71.60;27.40;1.00;542.15;483.19;38.24;48.53;11.76;1.47;0.00
43071066;EEEM BANDEIRANTE;RS;Guaporé;Estadual;Urbana;121;Maior que 90 alunos;69;57.02;0;80% ou mais;Médio Alto;Maior que 50%;55.70;76.80;18.10;5.10;526.48;470.19;37.68;52.17;10.14;0.00;0.00
43071082;ESC EST TECNICA AGRICOLA GUAPORE;RS;Guaporé;Estadual;Urbana;32;De 31 a 60 alunos;20;62.50;0;80% ou mais;Médio Alto;Até 50%;48.10;92.70;7.30;0.00;;505.99;10.00;75.00;15.00;0.00;0.00
43071538;ESCOLA ESTADUAL TECNICA GUARAMANO - CENTRO ESTADUAL DE REFERENCIA EM EDUCACAO PROFISSIONAL;RS;Guarani das Missões;Estadual;Urbana;137;Maior que 90 alunos;104;75.91;1;80% ou mais;Médio;Maior que 50%;70.40;90.20;6.50;3.30;539.42;474.84;32.69;58.65;8.65;0.00;0.00
43071511;ESCOLA ESTADUAL DE ENSINO MEDIO JOAO PRZYCZYNSKI;RS;Guarani das Missões;Estadual;Urbana;33;De 31 a 60 alunos;28;84.85;0;80% ou mais;Médio Alto;Maior que 50%;57.50;81.70;12.90;5.40;;458.86;53.57;35.71;10.71;0.00;0.00
43071570;EEEM JACOB HOFF;RS;Harmonia;Estadual;Urbana;34;De 31 a 60 alunos;19;55.88;0;80% ou mais;Alto;Até 50%;48.40;88.30;7.30;4.40;;469.74;36.84;47.37;15.79;0.00;0.00
43071627;CENTRO TECNOLOGICO FREDERICO JORGE LOGEMANN;RS;Horizontina;Privada;Urbana;100;Maior que 90 alunos;80;80.00;0;80% ou mais;Alto;Maior que 50%;68.20;93.50;6.10;0.40;552.68;485.05;32.50;47.50;20.00;0.00;0.00
43071910;EEEB ALBINO FANTIN;RS;Horizontina;Estadual;Urbana;95;Maior que 90 alunos;68;71.58;0;80% ou mais;Médio;Até 50%;49.20;67.50;26.40;6.10;513.92;455.77;48.53;45.59;5.88;0.00;0.00
43072135;IEE MARIA CRISTINA-CIEP;RS;Humaitá;Estadual;Urbana;42;De 31 a 60 alunos;32;76.19;0;80% ou mais;Médio Alto;Maior que 50%;66.10;82.60;9.30;8.10;474.65;467.80;40.63;46.88;12.50;0.00;0.00
