CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
42041821;EEB GOV CELSO RAMOS;SC;Joaçaba;Estadual;Urbana;115;Maior que 90 alunos;62;53.91;2;De 60% a 80%;Médio Alto;Maior que 50%;67.70;61.70;15.50;22.80;614.00;526.45;29.03;43.55;24.19;1.61;1.61
42041880;EEB DEP NELSON PEDRINI;SC;Joaçaba;Estadual;Urbana;34;De 31 a 60 alunos;21;61.76;0;80% ou mais;Alto;Maior que 50%;58.30;80.20;14.80;5.00;;508.57;52.38;14.29;28.57;4.76;0.00
42020816;EEB GIOVANI PASQUALINI FARACO;SC;Joinville;Estadual;Urbana;139;Maior que 90 alunos;108;77.70;0;De 60% a 80%;Alto;Maior que 50%;60.70;82.60;13.20;4.20;676.67;555.00;25.00;38.89;25.00;9.26;1.85
42021430;EEB JOAO COLIN;SC;Joinville;Estadual;Urbana;260;Maior que 90 alunos;176;67.69;0;80% ou mais;Alto;Maior que 50%;82.70;78.90;10.90;10.20;693.33;540.57;27.84;42.61;21.59;7.39;0.57
42020590;INSTITUICAO ADVENTISTA SUL BRASILEIRA DE EDUCACAO;SC;Joinville;Privada;Urbana;49;De 31 a 60 alunos;46;93.88;0;De 40% a 60%;Muito alto;Até 50%;35.90;96.90;3.10;0.00;662.67;607.61;10.87;39.13;21.74;28.26;0.00
42021081;EEB OLAVO BILAC;SC;Joinville;Estadual;Urbana;142;Maior que 90 alunos;71;50.00;0;De 60% a 80%;Alto;Maior que 50%;78.50;74.50;17.70;7.80;615.33;528.17;32.39;45.07;19.72;1.41;1.41
42020581;EEM GOV CELSO RAMOS;SC;Joinville;Estadual;Urbana;257;Maior que 90 alunos;144;56.03;1;De 40% a 60%;Médio Alto;Maior que 50%;81.40;84.80;10.10;5.10;710.00;567.07;21.53;38.89;27.78;9.72;2.08
42150027;IFSC - CAMPUS JOINVILLE;SC;Joinville;Federal;Urbana;102;Maior que 90 alunos;54;52.94;1;De 40% a 60%;Alto;Maior que 50%;79.40;86.30;7.90;5.80;664.00;587.41;22.22;27.78;33.33;14.81;1.85
42070880;CENTRO EDUCACIONAL CONEXAO;SC;Joinville;Privada;Urbana;72;De 61 a 90 alunos;62;86.11;0;De 40% a 60%;Sem informação;Até 50%;50.00;100.00;0.00;0.00;702.00;610.00;9.68;40.32;32.26;8.06;9.68
42020794;EEB PROF JANDIRA D AVILA;SC;Joinville;Estadual;Urbana;115;Maior que 90 alunos;83;72.17;0;80% ou mais;Alto;Maior que 50%;77.10;87.90;5.90;6.20;692.00;585.54;16.87;39.76;30.12;6.02;7.23
42020530;ASSOCIACAO EDUCACIONAL LUTERANA BOM JESUS-IELUSC;SC;Joinville;Privada;Urbana;108;Maior que 90 alunos;107;99.07;0;80% ou mais;Muito alto;Maior que 50%;79.30;95.10;3.90;1.00;843.33;716.64;2.80;14.02;19.63;37.38;26.17
42020557;COLEGIO DA UNIVILLE;SC;Joinville;Privada;Urbana;41;De 31 a 60 alunos;29;70.73;0;80% ou mais;Muito alto;Maior que 50%;66.70;85.50;14.50;0.00;;602.07;17.24;34.48;27.59;10.34;10.34
42112141;CENTRO EDUCACIONAL MACHADO DE ASSIS;SC;Joinville;Privada;Urbana;54;De 31 a 60 alunos;45;83.33;0;De 60% a 80%;Muito alto;Até 50%;44.00;96.10;3.90;0.00;694.67;645.78;2.22;24.44;46.67;15.56;11.11
42145384;COLEGIO TUPY;SC;Joinville;Privada;Urbana;159;Maior que 90 alunos;147;92.45;0;80% ou mais;Muito alto;Até 50%;44.10;95.40;4.60;0.00;861.33;689.52;3.40;17.69;31.29;27.21;20.41
42020387;EEB PLACIDO OLIMPIO DE OLIVEIRA;SC;Joinville;Estadual;Urbana;22;De 1 a 30 alunos;13;59.09;0;De 60% a 80%;Alto;Até 50%;33.30;87.10;7.10;5.80;;535.38;23.08;46.15;30.77;0.00;0.00
42020468;EEB PROF JOAO ROCHA;SC;Joinville;Estadual;Urbana;138;Maior que 90 alunos;75;54.35;1;De 60% a 80%;Alto;Maior que 50%;70.70;67.60;20.70;11.70;610.00;524.48;26.67;46.67;24.00;2.67;0.00
42020492;COLEGIO SANTO ANTONIO;SC;Joinville;Privada;Urbana;57;De 31 a 60 alunos;46;80.70;0;80% ou mais;Muito alto;Maior que 50%;66.30;96.90;3.10;0.00;697.33;633.48;10.87;26.09;30.43;28.26;4.35
42020697;EEB CONSELHEIRO MAFRA;SC;Joinville;Estadual;Urbana;45;De 31 a 60 alunos;34;75.56;0;80% ou mais;Alto;Até 50%;44.40;100.00;0.00;0.00;617.33;588.82;17.65;29.41;38.24;11.76;2.94
42020379;EEB OSVALDO ARANHA;SC;Joinville;Estadual;Urbana;87;De 61 a 90 alunos;63;72.41;0;De 60% a 80%;Alto;Maior que 50%;61.80;85.10;8.00;6.90;678.00;599.68;12.70;36.51;33.33;11.11;6.35
42020395;EEB DR TUFI DIPPE;SC;Joinville;Estadual;Urbana;237;Maior que 90 alunos;146;61.60;2;80% ou mais;Alto;Maior que 50%;81.20;75.60;18.80;5.60;693.33;568.77;18.49;37.67;36.30;6.16;1.37
42020778;EEB MAESTRO FRANCISCO MANOEL DA SILVA;SC;Joinville;Estadual;Urbana;209;Maior que 90 alunos;120;57.42;1;De 60% a 80%;Médio Alto;Maior que 50%;51.40;75.50;9.30;15.20;664.10;533.86;32.50;36.67;23.33;6.67;0.83
42020565;COLEGIO DOS SANTOS ANJOS;SC;Joinville;Privada;Urbana;102;Maior que 90 alunos;91;89.22;0;80% ou mais;Muito alto;Maior que 50%;62.90;95.90;4.10;0.00;754.00;642.86;5.49;24.18;40.66;19.78;9.89
42021448;EEB DOM PIO DE FREITAS;SC;Joinville;Estadual;Urbana;75;De 61 a 90 alunos;52;69.33;0;De 60% a 80%;Alto;Maior que 50%;54.90;82.10;14.10;3.80;647.33;555.77;25.00;40.38;19.23;9.62;5.77
42142008;COLEGIO OFICINA ME;SC;Joinville;Privada;Urbana;34;De 31 a 60 alunos;29;85.29;0;De 40% a 60%;Muito alto;Maior que 50%;52.90;100.00;0.00;0.00;;556.55;24.14;41.38;20.69;10.34;3.45
42136580;SENAI SC JOINVILLE SUL;SC;Joinville;Privada;Urbana;66;De 61 a 90 alunos;60;90.91;0;Menos de 20%;Sem informação;Até 50%;43.20;98.00;2.00;0.00;684.00;608.00;10.00;33.33;33.33;23.33;0.00
